,Unnamed: 0,time,time_2,year,period,month,day,hour,z_bases,z_tops,tropopause_base,tropopause_top,tropopause_base_bool,tropopause_top_bool,thickness,cod,lidar_ratio,class_,subvisual,thin,opaque,fake_top1,cond_s_bg,cirrus
1295,1295,2015-10-25 18:00:00,736262.7514602623,2015,Trans,10,25,18,9132.5,9492.5,-7144.8150000000005,-6784.8150000000005,False,False,360.0,0.0614473750708916,25.0,thin,False,False,False,False,True,False
1296,1296,2015-10-25 18:00:00,736262.7514602623,2015,Trans,10,25,18,10527.5,15425.0,-5749.8150000000005,-852.3150000000005,False,False,4897.5,0.8359403316935888,25.0,opaque,False,False,False,False,True,True
1297,1297,2015-10-25 18:05:00,736262.7550655864,2015,Trans,10,25,18,8675.0,9402.5,-7602.315,-6874.8150000000005,False,False,727.5,0.1455413518081235,40.40586189766518,thin,False,False,False,False,True,False
1298,1298,2015-10-25 18:05:00,736262.7550655864,2015,Trans,10,25,18,10535.0,15462.5,-5742.3150000000005,-814.8150000000005,False,False,4927.5,0.9857800838962594,40.40586189766518,opaque,False,False,False,False,True,True
1311,1311,2015-10-25 18:40:00,736262.7795150463,2015,Trans,10,25,18,8172.5,8900.0,-8104.815,-7377.315,False,False,727.5,0.1613945046680258,25.0,thin,False,False,False,False,True,False
1312,1312,2015-10-25 18:40:00,736262.7795150463,2015,Trans,10,25,18,11397.5,14405.0,-4879.8150000000005,-1872.3150000000005,False,False,3007.5,0.6672082100193647,25.0,opaque,False,False,False,False,True,True
1313,1313,2015-10-25 18:40:00,736262.7795150463,2015,Trans,10,25,18,14967.5,15080.0,-1309.8150000000005,-1197.3150000000005,False,False,112.5,0.0249579130929936,25.0,subvisual,True,False,False,False,True,True
1314,1314,2015-10-25 18:45:00,736262.7830439814,2015,Trans,10,25,18,11262.5,14375.0,-5014.8150000000005,-1902.3150000000005,False,False,3112.5,-1.787531179861237,43.63636363636364,subvisual,True,False,False,False,True,True
1315,1315,2015-10-25 18:45:00,736262.7830439814,2015,Trans,10,25,18,14922.5,15575.0,-1354.8150000000005,-702.3150000000005,False,False,652.5,-0.374735452163681,43.63636363636364,subvisual,True,False,False,False,True,True
1325,1325,2015-10-25 19:10:00,736262.8003252314,2015,Trans,10,25,19,10850.0,13812.5,-5427.3150000000005,-2464.8150000000005,False,False,2962.5,1.476488827448948,25.0,opaque,False,False,False,False,True,True
1326,1326,2015-10-25 19:10:00,736262.8003252314,2015,Trans,10,25,19,15005.0,15425.0,-1272.3150000000005,-852.3150000000005,False,False,420.0,0.2093249983218761,25.0,thin,False,False,False,False,True,True
1330,1330,2015-10-25 19:25:00,736262.8109056713,2015,Trans,10,25,19,10700.0,13565.0,-5577.3150000000005,-2712.3150000000005,False,False,2865.0,2.6026559628492016,25.0,opaque,False,False,False,False,True,True
1612,1612,2015-10-26 18:00:00,736263.7516898148,2015,Trans,10,26,18,12530.0,13100.0,-3747.315000000001,-3177.3150000000005,False,False,570.0,0.0106121281314613,25.0,subvisual,True,False,False,False,True,True
1613,1613,2015-10-26 18:00:00,736263.7516898148,2015,Trans,10,26,18,15560.0,16130.0,-717.3150000000005,-147.3150000000005,False,False,570.0,0.0106121281314613,25.0,subvisual,True,False,False,False,True,True
1614,1614,2015-10-26 18:05:00,736263.7552181713,2015,Trans,10,26,18,12485.0,13092.5,-3792.315000000001,-3184.8150000000005,False,False,607.5,0.0056906113719277,25.0,subvisual,True,False,False,False,True,True
1615,1615,2015-10-26 18:05:00,736263.7552181713,2015,Trans,10,26,18,15687.5,15867.5,-589.8150000000005,-409.8150000000005,False,False,180.0,0.0016861070731637,25.0,subvisual,True,False,False,False,True,True
1616,1616,2015-10-26 18:10:00,736263.758744213,2015,Trans,10,26,18,12500.0,13152.5,-3777.315000000001,-3124.8150000000005,False,False,652.5,0.0055665709148225,25.0,subvisual,True,False,False,False,True,True
1617,1617,2015-10-26 18:10:00,736263.758744213,2015,Trans,10,26,18,15822.5,15912.5,-454.8150000000005,-364.8150000000005,False,False,90.0,0.0007678028848031,25.0,subvisual,True,False,False,False,True,True
1618,1618,2015-10-26 18:15:00,736263.7622702547,2015,Trans,10,26,18,12537.5,13220.0,-3739.815000000001,-3057.3150000000005,False,False,682.5,0.0325636644986714,19.744444444444444,thin,False,False,False,False,True,True
1619,1619,2015-10-26 18:15:00,736263.7622702547,2015,Trans,10,26,18,16227.5,17397.5,-49.81500000000051,1120.1849999999995,False,True,1170.0,0.0558234248548653,19.744444444444444,thin,False,False,False,False,True,True
1621,1621,2015-10-26 18:25:00,736263.7689531893,2015,Trans,10,26,18,12710.0,13205.0,-3567.3150000000005,-3072.3150000000005,False,False,495.0,0.0203792210223878,25.0,subvisual,True,False,False,False,True,True
1627,1627,2015-10-26 18:40:00,736263.7795601852,2015,Trans,10,26,18,12695.0,13220.0,-3582.3150000000005,-3057.3150000000005,False,False,525.0,0.0150925870024543,25.0,subvisual,True,False,False,False,True,True
1630,1630,2015-10-26 18:55:00,736263.7897916667,2015,Trans,10,26,18,12155.0,13235.0,-4122.3150000000005,-3042.3150000000005,False,False,1080.0,0.0250277139756548,26.89646464646465,subvisual,True,False,False,False,True,True
1633,1633,2015-10-26 19:10:00,736263.8003761575,2015,Trans,10,26,19,12552.5,13317.5,-3724.815000000001,-2959.8150000000005,False,False,765.0,0.0192745147609545,25.0,subvisual,True,False,False,False,True,True
2640,2640,2015-10-29 18:00:00,736266.751727109,2015,Trans,10,29,18,5465.0,6087.5,-10812.315,-10189.815,False,False,622.5,0.0093226336208355,25.0,subvisual,True,False,False,False,True,False
2641,2641,2015-10-29 18:00:00,736266.751727109,2015,Trans,10,29,18,11180.0,11997.5,-5097.3150000000005,-4279.8150000000005,False,False,817.5,0.012242976682784,25.0,subvisual,True,False,False,False,True,True
2642,2642,2015-10-29 18:00:00,736266.751727109,2015,Trans,10,29,18,12560.0,13010.0,-3717.315000000001,-3267.3150000000005,False,False,450.0,0.0067392532198811,25.0,subvisual,True,False,False,False,True,True
2653,2653,2015-10-29 18:30:00,736266.7728915896,2015,Trans,10,29,18,5570.0,5802.5,-10707.315,-10474.815,False,False,232.5,0.0243325937877762,38.87662337662337,subvisual,True,False,False,False,True,False
2654,2654,2015-10-29 18:30:00,736266.7728915896,2015,Trans,10,29,18,10280.0,12155.0,-5997.3150000000005,-4122.3150000000005,False,False,1875.0,0.196230595062712,38.87662337662337,thin,False,False,False,False,True,True
2657,2657,2015-10-29 18:40:00,736266.779416088,2015,Trans,10,29,18,5570.0,5787.5,-10707.315,-10489.815,False,False,217.5,0.006161819026724,23.377188975178925,subvisual,True,False,False,False,True,False
2658,2658,2015-10-29 18:40:00,736266.779416088,2015,Trans,10,29,18,10235.0,12200.0,-6042.3150000000005,-4077.315000000001,False,False,1965.0,0.055668847758679,23.377188975178925,thin,False,False,False,False,True,True
2676,2676,2015-10-29 19:30:00,736266.8143362269,2015,Trans,10,29,19,5795.0,5937.5,-10482.315,-10339.815,False,False,142.5,0.0026504202032189,25.0,subvisual,True,False,False,False,True,False
2677,2677,2015-10-29 19:30:00,736266.8143362269,2015,Trans,10,29,19,9890.0,10490.0,-6387.3150000000005,-5787.3150000000005,False,False,600.0,0.0111596640135535,25.0,subvisual,True,False,False,False,True,False
2684,2684,2015-10-29 19:55:00,736266.8316504629,2015,Trans,10,29,19,13565.0,13835.0,-2712.3150000000005,-2442.3150000000005,False,False,270.0,0.0047461648183636,25.0,subvisual,True,False,False,False,True,True
2685,2685,2015-10-29 20:00:00,736266.8352019676,2015,Trans,10,29,20,13520.0,13842.5,-2757.3150000000005,-2434.8150000000005,False,False,322.5,0.0051946115747137,25.0,subvisual,True,False,False,False,True,True
2692,2692,2015-10-29 20:35:00,736266.8593666409,2015,Trans,10,29,20,13797.5,13992.5,-2479.8150000000005,-2284.8150000000005,False,False,195.0,0.0036756993829107,25.0,subvisual,True,False,False,False,True,True
2694,2694,2015-10-29 20:45:00,736266.8662465278,2015,Trans,10,29,20,13632.5,14562.5,-2644.8150000000005,-1714.8150000000005,False,False,930.0,0.014574672726747,25.0,subvisual,True,False,False,False,True,True
2696,2696,2015-10-29 20:55:00,736266.8732986113,2015,Trans,10,29,20,13760.0,13887.5,-2517.3150000000005,-2389.8150000000005,False,False,127.5,0.0034578529874084,25.0,subvisual,True,False,False,False,True,True
2697,2697,2015-10-29 20:55:00,736266.8732986113,2015,Trans,10,29,20,14397.5,14502.5,-1879.8150000000005,-1774.8150000000005,False,False,105.0,0.0028476436366892,25.0,subvisual,True,False,False,False,True,True
2705,2705,2015-10-29 21:35:00,736266.9011608798,2015,Trans,10,29,21,14615.0,14787.5,-1662.3150000000005,-1489.8150000000005,False,False,172.5,0.0032464890035327,25.0,subvisual,True,False,False,False,True,True
2706,2706,2015-10-29 21:40:00,736266.9045119599,2015,Trans,10,29,21,14540.0,14750.0,-1737.3150000000005,-1527.3150000000005,False,False,210.0,0.0057419593880606,25.0,subvisual,True,False,False,False,True,True
2707,2707,2015-10-29 21:45:00,736266.9078645834,2015,Trans,10,29,21,14622.5,14780.0,-1654.8150000000005,-1497.3150000000005,False,False,157.5,0.0053766934074659,25.0,subvisual,True,False,False,False,True,True
2708,2708,2015-10-29 21:50:00,736266.9113912038,2015,Trans,10,29,21,14660.0,14772.5,-1617.3150000000005,-1504.8150000000005,False,False,112.5,0.0022385710789422,25.0,subvisual,True,False,False,False,True,True
2793,2793,2015-10-30 02:20:00,736267.0990856483,2015,Trans,10,30,2,5270.0,5450.0,-11007.315,-10827.315,False,False,180.0,0.0068271068891399,15.582525765266883,subvisual,True,False,False,False,True,False
2794,2794,2015-10-30 02:20:00,736267.0990856483,2015,Trans,10,30,2,8592.5,9042.5,-7684.815,-7234.815,False,False,450.0,0.0170677672228499,15.582525765266883,subvisual,True,False,False,False,True,False
2795,2795,2015-10-30 02:20:00,736267.0990856483,2015,Trans,10,30,2,9912.5,11337.5,-6364.8150000000005,-4939.8150000000005,False,False,1425.0,0.0540479295390249,15.582525765266883,thin,False,False,False,False,True,True
2796,2796,2015-10-30 02:20:00,736267.0990856483,2015,Trans,10,30,2,11892.5,12575.0,-4384.8150000000005,-3702.315000000001,False,False,682.5,0.0258861136213224,15.582525765266883,subvisual,True,False,False,False,True,True
3000,3000,2015-10-30 18:00:00,736267.7521050347,2015,Trans,10,30,18,10782.5,13017.5,-5494.8150000000005,-3259.8150000000005,False,False,2235.0,0.2344367878998458,20.68060606060606,thin,False,False,False,False,True,True
3001,3001,2015-10-30 18:05:00,736267.7551453992,2015,Trans,10,30,18,11420.0,13452.5,-4857.3150000000005,-2824.8150000000005,False,False,2032.5,0.2876953582811381,42.2247031720716,thin,False,False,False,False,True,True
3002,3002,2015-10-30 18:10:00,736267.7585393518,2015,Trans,10,30,18,11225.0,13430.0,-5052.3150000000005,-2847.3150000000005,False,False,2205.0,0.1413315400208916,21.71151515151515,thin,False,False,False,False,True,True
3003,3003,2015-10-30 18:15:00,736267.7620826904,2015,Trans,10,30,18,11150.0,13467.5,-5127.3150000000005,-2809.8150000000005,False,False,2317.5,0.551959016923853,25.79060606060606,opaque,False,False,False,False,True,True
3004,3004,2015-10-30 18:20:00,736267.7654886832,2015,Trans,10,30,18,11630.0,13400.0,-4647.3150000000005,-2877.3150000000005,False,False,1770.0,0.2007108205676699,28.836666666666662,thin,False,False,False,False,True,True
3007,3007,2015-10-30 18:30:00,736267.772500643,2015,Trans,10,30,18,12380.0,13287.5,-3897.315000000001,-2989.8150000000005,False,False,907.5,0.0675470922330401,25.0,thin,False,False,False,False,True,True
3008,3008,2015-10-30 18:30:00,736267.772500643,2015,Trans,10,30,18,17082.5,17150.0,805.1849999999995,872.6849999999995,True,True,67.5,0.0050241638851021,25.0,subvisual,True,False,False,False,True,True
3009,3009,2015-10-30 18:35:00,736267.7761655094,2015,Trans,10,30,18,12470.0,13115.0,-3807.315000000001,-3162.3150000000005,False,False,645.0,0.0090244119340972,25.0,subvisual,True,False,False,False,True,True
3010,3010,2015-10-30 18:40:00,736267.779515175,2015,Trans,10,30,18,12740.0,13122.5,-3537.3150000000005,-3154.8150000000005,False,False,382.5,0.0085305580854879,25.0,subvisual,True,False,False,False,True,True
3011,3011,2015-10-30 18:45:00,736267.7828645834,2015,Trans,10,30,18,12732.5,13017.5,-3544.8150000000005,-3259.8150000000005,False,False,285.0,0.0040349711350907,25.0,subvisual,True,False,False,False,True,True
3012,3012,2015-10-30 18:50:00,736267.7862139917,2015,Trans,10,30,18,12530.0,12665.0,-3747.315000000001,-3612.315000000001,False,False,135.0,0.0029620074380872,25.0,subvisual,True,False,False,False,True,True
3014,3014,2015-10-30 19:00:00,736267.7933436213,2015,Trans,10,30,19,12530.0,12785.0,-3747.315000000001,-3492.3150000000005,False,False,255.0,0.0111900884031077,22.397448165869218,subvisual,True,False,False,False,True,True
3015,3015,2015-10-30 19:05:00,736267.7969675926,2015,Trans,10,30,19,12252.5,12785.0,-4024.815000000001,-3492.3150000000005,False,False,532.5,0.006305003356703,25.0,subvisual,True,False,False,False,True,True
3021,3021,2015-10-30 19:35:00,736267.8177644676,2015,Trans,10,30,19,13520.0,13812.5,-2757.3150000000005,-2464.8150000000005,False,False,292.5,0.0131084281677558,28.486962649753345,subvisual,True,False,False,False,True,True
3022,3022,2015-10-30 19:40:00,736267.8212881945,2015,Trans,10,30,19,11592.5,12440.0,-4684.8150000000005,-3837.315000000001,False,False,847.5,0.0404505124100934,25.0,thin,False,False,False,False,True,True
3023,3023,2015-10-30 19:40:00,736267.8212881945,2015,Trans,10,30,19,13347.5,13692.5,-2929.8150000000005,-2584.8150000000005,False,False,345.0,0.0164665802731354,25.0,subvisual,True,False,False,False,True,True
3024,3024,2015-10-30 19:45:00,736267.8246373457,2015,Trans,10,30,19,11540.0,12537.5,-4737.3150000000005,-3739.815000000001,False,False,997.5,0.0462888927717841,22.424242424242426,thin,False,False,False,False,True,True
3025,3025,2015-10-30 19:45:00,736267.8246373457,2015,Trans,10,30,19,13257.5,13610.0,-3019.8150000000005,-2667.3150000000005,False,False,352.5,0.0163577290246154,22.424242424242426,subvisual,True,False,False,False,True,True
3026,3026,2015-10-30 19:50:00,736267.827986111,2015,Trans,10,30,19,11742.5,13670.0,-4534.8150000000005,-2607.3150000000005,False,False,1927.5,0.0899158880390108,38.54813962408899,thin,False,False,False,False,True,True
3027,3027,2015-10-30 19:55:00,736267.831542824,2015,Trans,10,30,19,11562.5,13572.5,-4714.8150000000005,-2704.8150000000005,False,False,2010.0,0.0881950086469579,26.6369696969697,thin,False,False,False,False,True,True
3028,3028,2015-10-30 20:00:00,736267.8350925928,2015,Trans,10,30,20,11480.0,14037.5,-4797.3150000000005,-2239.8150000000005,False,False,2557.5,0.133455383631023,34.438521339044904,thin,False,False,False,False,True,True
3029,3029,2015-10-30 20:05:00,736267.8386215278,2015,Trans,10,30,20,12627.5,13977.5,-3649.815000000001,-2299.8150000000005,False,False,1350.0,0.0690985398696095,30.191307009488828,thin,False,False,False,False,True,True
3030,3030,2015-10-30 20:10:00,736267.8421452546,2015,Trans,10,30,20,12477.5,14112.5,-3799.815000000001,-2164.8150000000005,False,False,1635.0,0.0694289920448425,25.0,thin,False,False,False,False,True,True
3031,3031,2015-10-30 20:15:00,736267.8454944701,2015,Trans,10,30,20,12597.5,13857.5,-3679.815000000001,-2419.8150000000005,False,False,1260.0,0.0689831847696983,25.0,thin,False,False,False,False,True,True
3032,3032,2015-10-30 20:20:00,736267.8488449074,2015,Trans,10,30,20,12567.5,13880.0,-3709.815000000001,-2397.3150000000005,False,False,1312.5,0.0883625841966001,25.0,thin,False,False,False,False,True,True
3033,3033,2015-10-30 20:25:00,736267.8523761574,2015,Trans,10,30,20,12597.5,14045.0,-3679.815000000001,-2232.3150000000005,False,False,1447.5,0.0545959328407273,18.95272727272728,thin,False,False,False,False,True,True
3034,3034,2015-10-30 20:30:00,736267.8559027778,2015,Trans,10,30,20,12695.0,13722.5,-3582.3150000000005,-2554.8150000000005,False,False,1027.5,0.0721994845379659,32.14005338357669,thin,False,False,False,False,True,True
3035,3035,2015-10-30 20:35:00,736267.8594276621,2015,Trans,10,30,20,11945.0,13475.0,-4332.3150000000005,-2802.3150000000005,False,False,1530.0,0.0311065848515845,14.594612794612797,thin,False,False,False,False,True,True
3036,3036,2015-10-30 20:40:00,736267.8629508102,2015,Trans,10,30,20,11847.5,13557.5,-4429.8150000000005,-2719.8150000000005,False,False,1710.0,0.0673052734787938,37.3385579937304,thin,False,False,False,False,True,True
3037,3037,2015-10-30 20:45:00,736267.8663425926,2015,Trans,10,30,20,11562.5,13355.0,-4714.8150000000005,-2922.3150000000005,False,False,1792.5,0.0748516563424856,33.650757575757574,thin,False,False,False,False,True,True
3038,3038,2015-10-30 20:50:00,736267.8696487269,2015,Trans,10,30,20,12537.5,13287.5,-3739.815000000001,-2989.8150000000005,False,False,750.0,0.0294994435800848,25.0,subvisual,True,False,False,False,True,True
3039,3039,2015-10-30 20:55:00,736267.873175926,2015,Trans,10,30,20,12522.5,13287.5,-3754.815000000001,-2989.8150000000005,False,False,765.0,0.0421641333672919,28.226936026936027,thin,False,False,False,False,True,True
3040,3040,2015-10-30 21:00:00,736267.876701389,2015,Trans,10,30,21,12342.5,13467.5,-3934.815000000001,-2809.8150000000005,False,False,1125.0,0.0953242072576781,38.13326446280992,thin,False,False,False,False,True,True
3042,3042,2015-10-30 21:10:00,736267.8837552082,2015,Trans,10,30,21,12327.5,13265.0,-3949.815000000001,-3012.3150000000005,False,False,937.5,0.1103592176938187,29.77636363636364,thin,False,False,False,False,True,True
3045,3045,2015-10-30 21:25:00,736267.8939855323,2015,Trans,10,30,21,12357.5,13655.0,-3919.815000000001,-2622.3150000000005,False,False,1297.5,0.2672992547198768,36.76534186081925,thin,False,False,False,False,True,True
3047,3047,2015-10-30 21:35:00,736267.901037037,2015,Trans,10,30,21,12470.0,13700.0,-3807.315000000001,-2577.3150000000005,False,False,1230.0,0.2069379607112687,25.0,thin,False,False,False,False,True,True
3049,3049,2015-10-30 21:45:00,736267.9080920139,2015,Trans,10,30,21,12462.5,13602.5,-3814.815000000001,-2674.8150000000005,False,False,1140.0,0.0903424866291986,27.91181818181818,thin,False,False,False,False,True,True
3051,3051,2015-10-30 21:55:00,736267.914796875,2015,Trans,10,30,21,12132.5,13542.5,-4144.8150000000005,-2734.8150000000005,False,False,1410.0,0.0802448458288185,16.3961038961039,thin,False,False,False,False,True,True
3053,3053,2015-10-30 22:05:00,736267.9218524306,2015,Trans,10,30,22,12672.5,13325.0,-3604.815000000001,-2952.3150000000005,False,False,652.5,0.0225110717108022,25.0,subvisual,True,False,False,False,True,True
3056,3056,2015-10-30 22:15:00,736267.9289056713,2015,Trans,10,30,22,11240.0,11660.0,-5037.3150000000005,-4617.3150000000005,False,False,420.0,0.012448768005207,29.719223484848484,subvisual,True,False,False,False,True,True
3057,3057,2015-10-30 22:15:00,736267.9289056713,2015,Trans,10,30,22,12582.5,13122.5,-3694.815000000001,-3154.8150000000005,False,False,540.0,0.0160055588638376,29.719223484848484,subvisual,True,False,False,False,True,True
3060,3060,2015-10-30 22:25:00,736267.935779964,2015,Trans,10,30,22,12297.5,12912.5,-3979.815000000001,-3364.8150000000005,False,False,615.0,0.0422519289680498,25.0,thin,False,False,False,False,True,True
3067,3067,2015-10-30 22:45:00,736267.9497736625,2015,Trans,10,30,22,10625.0,12755.0,-5652.3150000000005,-3522.3150000000005,False,False,2130.0,0.9977314628167636,25.0,opaque,False,False,False,False,True,True
3068,3068,2015-10-30 22:45:00,736267.9497736625,2015,Trans,10,30,22,14307.5,14375.0,-1969.8150000000005,-1902.3150000000005,False,False,67.5,0.0316182505822213,25.0,thin,False,False,False,False,True,True
3069,3069,2015-10-30 22:45:00,736267.9497736625,2015,Trans,10,30,22,17757.5,17967.5,1480.1849999999995,1690.1849999999995,True,True,210.0,0.0983678907002442,25.0,thin,False,False,False,False,True,True
3075,3075,2015-10-30 23:05:00,736267.9634728009,2015,Trans,10,30,23,10370.0,12575.0,-5907.3150000000005,-3702.315000000001,False,False,2205.0,0.2658875757213536,18.20515151515152,thin,False,False,False,False,True,True
3076,3076,2015-10-30 23:05:00,736267.9634728009,2015,Trans,10,30,23,13715.0,13872.5,-2562.3150000000005,-2404.8150000000005,False,False,157.5,0.0189919696943824,18.20515151515152,subvisual,True,False,False,False,True,True
3077,3077,2015-10-30 23:05:00,736267.9634728009,2015,Trans,10,30,23,16062.5,16475.0,-214.8150000000005,197.6849999999995,False,True,412.5,0.0497408730090967,18.20515151515152,thin,False,False,False,False,True,True
3086,3086,2015-10-30 23:25:00,736267.9774099793,2015,Trans,10,30,23,11442.5,13205.0,-4834.8150000000005,-3072.3150000000005,False,False,1762.5,0.091711918603014,25.0,thin,False,False,False,False,True,True
3090,3090,2015-10-30 23:45:00,736267.9913385417,2015,Trans,10,30,23,10700.0,13370.0,-5577.3150000000005,-2907.3150000000005,False,False,2670.0,0.3296563167759353,24.13818181818182,opaque,False,False,False,False,True,True
3099,3099,2015-10-31 00:05:00,736268.0050920139,2015,Trans,10,31,0,10527.5,13722.5,-5749.8150000000005,-2554.8150000000005,False,False,3195.0,0.2889513420412634,25.0,thin,False,False,False,False,True,True
3100,3100,2015-10-31 00:05:00,736268.0050920139,2015,Trans,10,31,0,16017.5,16625.0,-259.8150000000005,347.6849999999995,False,True,607.5,0.0549414523599585,25.0,thin,False,False,False,False,True,True
3101,3101,2015-10-31 00:05:00,736268.0050920139,2015,Trans,10,31,0,17525.0,19512.5,1247.6849999999995,3235.1849999999995,True,True,1987.5,0.1797467268566544,25.0,thin,False,False,False,False,True,True
3115,3115,2015-10-31 01:10:00,736268.0502199073,2015,Trans,10,31,1,10212.5,12935.0,-6064.8150000000005,-3342.3150000000005,False,False,2722.5,0.3789851199894596,21.80909090909091,opaque,False,False,False,False,True,True
3121,3121,2015-10-31 01:30:00,736268.0643287038,2015,Trans,10,31,1,9980.0,12147.5,-6297.3150000000005,-4129.8150000000005,False,False,2167.5,0.3817721786010213,44.31036168132942,opaque,False,False,False,False,True,True
3122,3122,2015-10-31 01:30:00,736268.0643287038,2015,Trans,10,31,1,13092.5,13610.0,-3184.8150000000005,-2667.3150000000005,False,False,517.5,0.0911497589047421,44.31036168132942,thin,False,False,False,False,True,True
3378,3378,2015-10-31 21:50:00,736268.9114241898,2015,Trans,10,31,21,8495.0,10940.0,-7782.315,-5337.3150000000005,False,False,2445.0,0.9481790076860036,25.0,opaque,False,False,False,False,True,True
3379,3379,2015-10-31 21:50:00,736268.9114241898,2015,Trans,10,31,21,12927.5,13985.0,-3349.8150000000005,-2292.3150000000005,False,False,1057.5,0.4101019634470138,25.0,opaque,False,False,False,False,True,True
3381,3381,2015-10-31 22:00:00,736268.9184785879,2015,Trans,10,31,22,8990.0,11412.5,-7287.315,-4864.8150000000005,False,False,2422.5,1.762459151423798,21.95121212121212,opaque,False,False,False,False,True,True
4853,4853,2015-11-06 18:05:00,736274.7551929011,2015,Trans,11,6,18,5907.5,7587.5,-10593.812000000002,-8913.812000000002,False,False,1680.0,0.0671684397608998,25.0,thin,False,False,False,False,True,False
4854,4854,2015-11-06 18:05:00,736274.7551929011,2015,Trans,11,6,18,8202.5,8375.0,-8298.812000000002,-8126.312000000002,False,False,172.5,0.0068967594397352,25.0,subvisual,True,False,False,False,True,False
4855,4855,2015-11-06 18:05:00,736274.7551929011,2015,Trans,11,6,18,9785.0,11487.5,-6716.312000000002,-5013.812000000002,False,False,1702.5,0.0680680170791261,25.0,thin,False,False,False,False,True,True
4859,4859,2015-11-06 18:15:00,736274.762066551,2015,Trans,11,6,18,5937.5,8150.0,-10563.812000000002,-8351.312000000002,False,False,2212.5,0.1622558630243454,25.0,thin,False,False,False,False,True,False
4860,4860,2015-11-06 18:15:00,736274.762066551,2015,Trans,11,6,18,9162.5,11172.5,-7338.812000000002,-5328.812000000002,False,False,2010.0,0.1474053264085579,25.0,thin,False,False,False,False,True,True
4861,4861,2015-11-06 18:20:00,736274.7655902777,2015,Trans,11,6,18,5982.5,7880.0,-10518.812000000002,-8621.312000000002,False,False,1897.5,0.1634500533321774,25.0,thin,False,False,False,False,True,False
4862,4862,2015-11-06 18:20:00,736274.7655902777,2015,Trans,11,6,18,9110.0,11000.0,-7391.312000000002,-5501.312000000002,False,False,1890.0,0.1628040056905482,25.0,thin,False,False,False,False,True,True
4865,4865,2015-11-06 18:30:00,736274.7727404835,2015,Trans,11,6,18,6005.0,8285.0,-10496.312000000002,-8216.312000000002,False,False,2280.0,0.4616792392517961,25.0,opaque,False,False,False,False,True,False
4866,4866,2015-11-06 18:30:00,736274.7727404835,2015,Trans,11,6,18,9147.5,11067.5,-7353.812000000002,-5433.812000000002,False,False,1920.0,0.3887825172646703,25.0,opaque,False,False,False,False,True,True
4867,4867,2015-11-06 18:30:00,736274.7727404835,2015,Trans,11,6,18,11667.5,11922.5,-4833.812000000002,-4578.812000000002,False,False,255.0,0.051635178074214,25.0,thin,False,False,False,False,True,True
4868,4868,2015-11-06 18:30:00,736274.7727404835,2015,Trans,11,6,18,13092.5,13325.0,-3408.8120000000017,-3176.3120000000017,False,False,232.5,0.0470791329500186,25.0,thin,False,False,False,False,True,True
4872,4872,2015-11-06 18:40:00,736274.77953125,2015,Trans,11,6,18,6042.5,7415.0,-10458.812000000002,-9086.312000000002,False,False,1372.5,0.1532677603537054,15.742424242424242,thin,False,False,False,False,True,False
4873,4873,2015-11-06 18:40:00,736274.77953125,2015,Trans,11,6,18,9177.5,13025.0,-7323.812000000002,-3476.3120000000017,False,False,3847.5,0.4296522462374365,15.742424242424242,opaque,False,False,False,False,True,True
4876,4876,2015-11-06 18:50:00,736274.7864027778,2015,Trans,11,6,18,6110.0,7400.0,-10391.312000000002,-9101.312000000002,False,False,1290.0,0.1611593661853284,25.0,thin,False,False,False,False,True,False
4877,4877,2015-11-06 18:50:00,736274.7864027778,2015,Trans,11,6,18,9155.0,13017.5,-7346.312000000002,-3483.8120000000017,False,False,3862.5,0.4825411254967682,25.0,opaque,False,False,False,False,True,True
4888,4888,2015-11-06 19:15:00,736274.8036730324,2015,Trans,11,6,19,6282.5,7625.0,-10218.812000000002,-8876.312000000002,False,False,1342.5,0.2470683347217708,25.0,thin,False,False,False,False,True,False
4889,4889,2015-11-06 19:15:00,736274.8036730324,2015,Trans,11,6,19,9005.0,12552.5,-7496.312000000002,-3948.8120000000017,False,False,3547.5,0.6528677224770817,25.0,opaque,False,False,False,False,True,True
4890,4890,2015-11-06 19:15:00,736274.8036730324,2015,Trans,11,6,19,14877.5,15230.0,-1623.8120000000015,-1271.3120000000015,False,False,352.5,0.0648726912397946,25.0,thin,False,False,False,False,True,True
4894,4894,2015-11-06 19:25:00,736274.8108603396,2015,Trans,11,6,19,6875.0,7617.5,-9626.312000000002,-8883.812000000002,False,False,742.5,0.1434253946863032,25.0,thin,False,False,False,False,True,False
4895,4895,2015-11-06 19:25:00,736274.8108603396,2015,Trans,11,6,19,8832.5,11990.0,-7668.812000000002,-4511.312000000002,False,False,3157.5,0.6099201127569058,25.0,opaque,False,False,False,False,True,True
4896,4896,2015-11-06 19:25:00,736274.8108603396,2015,Trans,11,6,19,14832.5,15177.5,-1668.8120000000015,-1323.8120000000015,False,False,345.0,0.0666421025815146,25.0,thin,False,False,False,False,True,True
4900,4900,2015-11-06 19:35:00,736274.8179050926,2015,Trans,11,6,19,8660.0,12005.0,-7841.312000000002,-4496.312000000002,False,False,3345.0,0.8249216525883712,36.6540404040404,opaque,False,False,False,False,True,True
4901,4901,2015-11-06 19:35:00,736274.8179050926,2015,Trans,11,6,19,14720.0,15177.5,-1781.3120000000015,-1323.8120000000015,False,False,457.5,0.1128256071925799,36.6540404040404,thin,False,False,False,False,True,True
